file,category,upstream_repository,upstream_url,upstream_path,upstream_revision,differing_lines,notice
floo_noc/test/axi_aw_w_sync.sv,include-path,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/axi_aw_w_sync.sv,reduction-vc-rebase..v0.8.4,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
floo_noc/test/axi_bw_monitor.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/axi_bw_monitor.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/test/axi_reorder_compare.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/axi_reorder_compare.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/test/axi_reorder_remap_compare.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/axi_reorder_remap_compare.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/test/floo_axi_rand_slave.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/floo_axi_rand_slave.sv,v0.6.0..v0.6.1,,
floo_noc/test/floo_axi_test_node.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/floo_axi_test_node.sv,v0.6.0..v0.6.1,,
floo_noc/test/floo_dma_test_node.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/floo_dma_test_node.sv,v0.6.0..v0.6.1,,
floo_noc/test/floo_hbm_model.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/floo_hbm_model.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/test/floo_test_pkg.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/floo_test_pkg.sv,v0.6.0..v0.6.1,,
floo_noc/test/include/axi_print_txns.svh,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/include/axi_print_txns.svh,reduction-vc-rebase..v0.8.4,,
floo_noc/test/include/tb_tasks.svh,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/test/include/tb_tasks.svh,reduction-vc-rebase..v0.8.4,,
floo_noc/test/jobs/mesh_0.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_1.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_100.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_101.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_102.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_103.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_104.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_105.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_106.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_107.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_108.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_2.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_3.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_4.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_5.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_6.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_7.txt,project,,,,,,project file (project header)
floo_noc/test/jobs/mesh_8.txt,project,,,,,,project file (project header)
floo_noc/vc_router_util/floo_credit_counter.sv,include-path,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_credit_counter.sv,reduction-vc-rebase..v0.8.4,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
floo_noc/vc_router_util/floo_input_fifo.sv,small,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_input_fifo.sv,v0.6.0,9,include paths adapted to this source tree; assertion includes removed (9 differing lines against the upstream version)
floo_noc/vc_router_util/floo_input_port.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_input_port.sv,reduction-vc-rebase..v0.8.4,,
